Tick 10_6 attacks 1_9 with 49100, killing 3 units
0_0 attacks 1_4 with 170082, killing 7 units
1_0 attacks 0_3 with 179394, killing 18 units
1_6 attacks 0_5 with 156330, killing 33 units
Tick 300_6 attacks 1_6 with 93680, killing 2 units
0_7 attacks 1_5 with 66624, killing 1 units
1_8 attacks 0_1 with 21368, killing 3 units
1_1 attacks 0_2 with 186032, killing 20 units
0_5 attacks 1_9 with 27832, killing 1 units
1_2 attacks 0_0 with 31140, killing 3 units
0_4 attacks 1_3 with 172744, killing 3 units
0_8 attacks 1_1 with 73472, killing 1 units
1_4 attacks 0_6 with 24372, killing 3 units
0_1 attacks 1_8 with 108768, killing 7 units
1_5 attacks 0_7 with 166440, killing 17 units
0_3 attacks 1_2 with 175120, killing 6 units
0_9 attacks 1_7 with 59408, killing 1 units
1_3 attacks 0_9 with 164542, killing 23 units
1_9 attacks 0_8 with 28770, killing 2 units
0_2 attacks 1_0 with 59440, killing 1 units
1_7 attacks 0_4 with 56916, killing 5 units
0_0 attacks 1_4 with 169884, killing 7 units
1_0 attacks 0_3 with 179336, killing 18 units
1_6 attacks 0_5 with 156294, killing 33 units
Tick 310_6 attacks 1_6 with 93560, killing 2 units
0_7 attacks 1_5 with 65808, killing 1 units
1_8 attacks 0_1 with 21340, killing 3 units
1_1 attacks 0_2 with 185988, killing 20 units
0_5 attacks 1_9 with 27370, killing 1 units
1_2 attacks 0_0 with 30780, killing 3 units
0_4 attacks 1_3 with 172484, killing 3 units
0_8 attacks 1_1 with 72816, killing 1 units
1_4 attacks 0_6 with 24120, killing 3 units
0_1 attacks 1_8 with 108720, killing 7 units
1_5 attacks 0_7 with 166380, killing 17 units
0_3 attacks 1_2 with 174760, killing 6 units
0_9 attacks 1_7 with 59040, killing 1 units
1_3 attacks 0_9 with 164248, killing 23 units
1_9 attacks 0_8 with 28755, killing 2 units
0_2 attacks 1_0 with 59280, killing 1 units
1_7 attacks 0_4 with 56882, killing 5 units
0_0 attacks 1_4 with 169686, killing 7 units
1_0 attacks 0_3 with 179278, killing 18 units
1_6 attacks 0_5 with 156258, killing 33 units
Tick 320_6 attacks 1_6 with 93440, killing 2 units
0_7 attacks 1_5 with 64992, killing 1 units
1_8 attacks 0_1 with 21312, killing 3 units
1_1 attacks 0_2 with 185944, killing 20 units
0_5 attacks 1_9 with 26908, killing 1 units
1_2 attacks 0_0 with 30420, killing 3 units
0_4 attacks 1_3 with 172224, killing 3 units
0_8 attacks 1_1 with 72160, killing 1 units
1_4 attacks 0_6 with 23868, killing 3 units
0_1 attacks 1_8 with 108672, killing 7 units
1_5 attacks 0_7 with 166320, killing 17 units
0_3 attacks 1_2 with 174400, killing 6 units
0_9 attacks 1_7 with 58672, killing 1 units
1_3 attacks 0_9 with 163954, killing 23 units
1_9 attacks 0_8 with 28740, killing 2 units
0_2 attacks 1_0 with 59120, killing 1 units
1_7 attacks 0_4 with 56848, killing 5 units
0_0 attacks 1_4 with 169488, killing 7 units
1_0 attacks 0_3 with 179220, killing 18 units
1_6 attacks 0_5 with 156222, killing 33 units
Tick 330_6 attacks 1_6 with 93320, killing 2 units
0_7 attacks 1_5 with 64176, killing 1 units
1_8 attacks 0_1 with 21284, killing 3 units
1_1 attacks 0_2 with 185900, killing 20 units
0_5 attacks 1_9 with 26446, killing 1 units
1_2 attacks 0_0 with 30060, killing 3 units
0_4 attacks 1_3 with 171964, killing 3 units
0_8 attacks 1_1 with 71504, killing 1 units
1_4 attacks 0_6 with 23616, killing 3 units
0_1 attacks 1_8 with 108624, killing 7 units
1_5 attacks 0_7 with 166260, killing 17 units
0_3 attacks 1_2 with 174040, killing 6 units
0_9 attacks 1_7 with 58304, killing 1 units
1_3 attacks 0_9 with 163660, killing 23 units
1_9 attacks 0_8 with 28725, killing 2 units
0_2 attacks 1_0 with 58960, killing 1 units
1_7 attacks 0_4 with 56814, killing 5 units
0_0 attacks 1_4 with 169290, killing 7 units
1_0 attacks 0_3 with 179162, killing 18 units
1_6 attacks 0_5 with 156186, killing 33 units
Tick 340_6 attacks 1_6 with 93200, killing 2 units
0_7 attacks 1_5 with 63360, killing 1 units
1_8 attacks 0_1 with 21256, killing 3 units
1_1 attacks 0_2 with 185856, killing 20 units
0_5 attacks 1_9 with 25984, killing 1 units
1_2 attacks 0_0 with 29700, killing 3 units
0_4 attacks 1_3 with 171704, killing 3 units
0_8 attacks 1_1 with 70848, killing 1 units
1_4 attacks 0_6 with 23364, killing 3 units
0_1 attacks 1_8 with 108576, killing 7 units
1_5 attacks 0_7 with 166200, killing 17 units
0_3 attacks 1_2 with 173680, killing 6 units
0_9 attacks 1_7 with 57936, killing 1 units
1_3 attacks 0_9 with 163366, killing 23 units
1_9 attacks 0_8 with 28710, killing 2 units
0_2 attacks 1_0 with 58800, killing 1 units
1_7 attacks 0_4 with 56780, killing 5 units
0_0 attacks 1_4 with 169092, killing 7 units
1_0 attacks 0_3 with 179104, killing 18 units
1_6 attacks 0_5 with 156150, killing 33 units
Tick 350_6 attacks 1_6 with 93080, killing 2 units
0_7 attacks 1_5 with 62544, killing 1 units
1_8 attacks 0_1 with 21228, killing 3 units
1_1 attacks 0_2 with 185812, killing 20 units
0_5 attacks 1_9 with 25522, killing 1 units
1_2 attacks 0_0 with 29340, killing 3 units
0_4 attacks 1_3 with 171444, killing 3 units
0_8 attacks 1_1 with 70192, killing 1 units
1_4 attacks 0_6 with 23112, killing 3 units
0_1 attacks 1_8 with 108528, killing 7 units
1_5 attacks 0_7 with 166140, killing 17 units
0_3 attacks 1_2 with 173320, killing 6 units
0_9 attacks 1_7 with 57568, killing 1 units
1_3 attacks 0_9 with 163072, killing 23 units
1_9 attacks 0_8 with 28695, killing 2 units
0_2 attacks 1_0 with 58640, killing 1 units
1_7 attacks 0_4 with 56746, killing 5 units
0_0 attacks 1_4 with 168894, killing 7 units
1_0 attacks 0_3 with 179046, killing 18 units
1_6 attacks 0_5 with 156114, killing 33 units
Tick 360_6 attacks 1_6 with 92960, killing 2 units
0_7 attacks 1_5 with 61728, killing 1 units
1_8 attacks 0_1 with 21200, killing 3 units
1_1 attacks 0_2 with 185768, killing 20 units
0_5 attacks 1_9 with 25060, killing 1 units
1_2 attacks 0_0 with 28980, killing 3 units
0_4 attacks 1_3 with 171184, killing 3 units
0_8 attacks 1_1 with 69536, killing 1 units
1_4 attacks 0_6 with 22860, killing 3 units
0_1 attacks 1_8 with 108480, killing 7 units
1_5 attacks 0_7 with 166080, killing 17 units
0_3 attacks 1_2 with 172960, killing 6 units
0_9 attacks 1_7 with 57200, killing 1 units
1_3 attacks 0_9 with 162778, killing 23 units
1_9 attacks 0_8 with 28680, killing 2 units
0_2 attacks 1_0 with 58480, killing 1 units
1_7 attacks 0_4 with 56712, killing 5 units
0_0 attacks 1_4 with 168696, killing 7 units
1_0 attacks 0_3 with 178988, killing 18 units
1_6 attacks 0_5 with 156078, killing 33 units
Tick 370_6 attacks 1_6 with 92840, killing 2 units
0_7 attacks 1_5 with 60912, killing 1 units
1_8 attacks 0_1 with 21172, killing 3 units
1_1 attacks 0_2 with 185724, killing 20 units
0_5 attacks 1_9 with 24598, killing 1 units
1_2 attacks 0_8 with 28620, killing 2 units
0_4 attacks 1_3 with 170924, killing 3 units
0_8 attacks 1_1 with 68224, killing 1 units
1_4 attacks 0_6 with 22608, killing 3 units
0_1 attacks 1_8 with 108432, killing 7 units
1_5 attacks 0_7 with 166020, killing 17 units
0_3 attacks 1_2 with 172600, killing 6 units
0_9 attacks 1_7 with 56832, killing 1 units
1_3 attacks 0_9 with 162484, killing 23 units
1_9 attacks 0_0 with 28665, killing 2 units
0_2 attacks 1_0 with 58320, killing 1 units
1_7 attacks 0_4 with 56678, killing 5 units
0_0 attacks 1_4 with 168564, killing 7 units
1_0 attacks 0_3 with 178930, killing 18 units
1_6 attacks 0_5 with 156042, killing 33 units
Tick 380_6 attacks 1_6 with 92720, killing 2 units
0_7 attacks 1_5 with 60096, killing 1 units
1_8 attacks 0_1 with 21144, killing 3 units
1_1 attacks 0_2 with 185680, killing 20 units
0_5 attacks 1_9 with 24136, killing 1 units
1_2 attacks 0_8 with 28260, killing 2 units
0_4 attacks 1_3 with 170664, killing 3 units
0_8 attacks 1_1 with 67568, killing 1 units
1_4 attacks 0_6 with 22356, killing 3 units
0_1 attacks 1_8 with 108384, killing 7 units
1_5 attacks 0_7 with 165960, killing 17 units
0_3 attacks 1_2 with 172240, killing 6 units
0_9 attacks 1_7 with 56464, killing 1 units
1_3 attacks 0_9 with 162190, killing 23 units
1_9 attacks 0_0 with 28650, killing 2 units
0_2 attacks 1_0 with 58160, killing 1 units
1_7 attacks 0_4 with 56644, killing 5 units
0_0 attacks 1_4 with 168432, killing 7 units
1_0 attacks 0_3 with 178872, killing 18 units
1_6 attacks 0_5 with 156006, killing 33 units
Tick 390_6 attacks 1_6 with 92600, killing 2 units
0_7 attacks 1_5 with 59280, killing 1 units
1_8 attacks 0_1 with 21116, killing 2 units
1_1 attacks 0_2 with 185636, killing 20 units
0_5 attacks 1_9 with 23674, killing 1 units
1_2 attacks 0_8 with 27900, killing 2 units
0_4 attacks 1_3 with 170404, killing 3 units
0_8 attacks 1_1 with 66912, killing 1 units
1_4 attacks 0_6 with 22104, killing 3 units
0_1 attacks 1_8 with 108352, killing 7 units
1_5 attacks 0_7 with 165900, killing 17 units
0_3 attacks 1_2 with 171880, killing 6 units
0_9 attacks 1_7 with 56096, killing 1 units
1_3 attacks 0_9 with 161896, killing 22 units
1_9 attacks 0_0 with 28635, killing 2 units
0_2 attacks 1_0 with 58000, killing 1 units
1_7 attacks 0_4 with 56610, killing 5 units
0_0 attacks 1_4 with 168300, killing 7 units
1_0 attacks 0_3 with 178814, killing 18 units
1_6 attacks 0_5 with 155970, killing 33 units
Tick 400_6 attacks 1_6 with 92480, killing 2 units
0_7 attacks 1_5 with 58464, killing 1 units
1_8 attacks 0_1 with 21088, killing 2 units
1_1 attacks 0_2 with 185592, killing 20 units
0_5 attacks 1_9 with 23212, killing 1 units
1_2 attacks 0_8 with 27540, killing 2 units
0_4 attacks 1_3 with 170144, killing 3 units
0_8 attacks 1_1 with 66256, killing 1 units
1_4 attacks 0_6 with 21852, killing 3 units
0_1 attacks 1_8 with 108320, killing 7 units
1_5 attacks 0_7 with 165840, killing 17 units
0_3 attacks 1_2 with 171520, killing 6 units
0_9 attacks 1_7 with 55744, killing 1 units
1_3 attacks 0_9 with 161602, killing 22 units
1_9 attacks 0_0 with 28620, killing 2 units
0_2 attacks 1_0 with 57840, killing 1 units
1_7 attacks 0_4 with 56576, killing 5 units
0_0 attacks 1_4 with 168168, killing 7 units
1_0 attacks 0_3 with 178756, killing 18 units
1_6 attacks 0_5 with 155934, killing 33 units
Tick 410_6 attacks 1_6 with 92360, killing 2 units
0_7 attacks 1_5 with 57648, killing 1 units
1_8 attacks 0_1 with 21060, killing 2 units
1_1 attacks 0_2 with 185548, killing 20 units
0_5 attacks 1_9 with 22750, killing 1 units
1_2 attacks 0_8 with 27180, killing 2 units
0_4 attacks 1_3 with 169884, killing 3 units
0_8 attacks 1_1 with 65600, killing 1 units
1_4 attacks 0_6 with 21600, killing 3 units
0_1 attacks 1_8 with 108288, killing 7 units
1_5 attacks 0_7 with 165780, killing 17 units
0_3 attacks 1_2 with 171160, killing 6 units
0_9 attacks 1_7 with 55392, killing 1 units
1_3 attacks 0_9 with 161308, killing 22 units
1_9 attacks 0_0 with 28605, killing 2 units
0_2 attacks 1_0 with 57680, killing 1 units
1_7 attacks 0_4 with 56542, killing 5 units
0_0 attacks 1_4 with 168036, killing 7 units
1_0 attacks 0_3 with 178698, killing 18 units
1_6 attacks 0_5 with 155898, killing 33 units
Tick 420_6 attacks 1_6 with 92240, killing 2 units
0_7 attacks 1_5 with 56832, killing 1 units
1_8 attacks 0_1 with 21032, killing 2 units
1_1 attacks 0_2 with 185504, killing 20 units
0_5 attacks 1_9 with 22288, killing 1 units
1_2 attacks 0_8 with 26820, killing 2 units
0_4 attacks 1_3 with 169624, killing 3 units
0_8 attacks 1_1 with 64944, killing 1 units
1_4 attacks 0_6 with 21348, killing 3 units
0_1 attacks 1_8 with 108256, killing 7 units
1_5 attacks 0_7 with 165720, killing 17 units
0_3 attacks 1_2 with 170800, killing 6 units
0_9 attacks 1_7 with 55040, killing 1 units
1_3 attacks 0_9 with 161014, killing 22 units
1_9 attacks 0_0 with 28590, killing 2 units
0_2 attacks 1_0 with 57520, killing 1 units
1_7 attacks 0_4 with 56508, killing 5 units
0_0 attacks 1_4 with 167904, killing 7 units
1_0 attacks 0_3 with 178640, killing 18 units
1_6 attacks 0_5 with 155862, killing 33 units
Tick 430_6 attacks 1_6 with 92120, killing 2 units
0_7 attacks 1_5 with 56016, killing 1 units
1_8 attacks 0_1 with 21004, killing 2 units
1_1 attacks 0_2 with 185460, killing 20 units
0_5 attacks 1_9 with 21826, killing 1 units
1_2 attacks 0_8 with 26460, killing 2 units
0_4 attacks 1_3 with 169364, killing 3 units
0_8 attacks 1_1 with 64288, killing 1 units
1_4 attacks 0_6 with 21096, killing 3 units
0_1 attacks 1_8 with 108224, killing 7 units
1_5 attacks 0_7 with 165660, killing 17 units
0_3 attacks 1_2 with 170440, killing 6 units
0_9 attacks 1_7 with 54688, killing 1 units
1_3 attacks 0_9 with 160720, killing 22 units
1_9 attacks 0_0 with 28575, killing 2 units
0_2 attacks 1_0 with 57360, killing 1 units
1_7 attacks 0_4 with 56474, killing 5 units
0_0 attacks 1_4 with 167772, killing 7 units
1_0 attacks 0_3 with 178582, killing 18 units
1_6 attacks 0_5 with 155826, killing 33 units
Tick 440_6 attacks 1_6 with 92000, killing 2 units
0_7 attacks 1_5 with 55200, killing 1 units
1_8 attacks 0_1 with 20976, killing 2 units
1_1 attacks 0_2 with 185416, killing 20 units
0_5 attacks 1_9 with 21364, killing 1 units
1_2 attacks 0_8 with 26100, killing 2 units
0_4 attacks 1_3 with 169104, killing 3 units
0_8 attacks 1_1 with 63632, killing 1 units
1_4 attacks 0_6 with 20844, killing 3 units
0_1 attacks 1_8 with 108192, killing 7 units
1_5 attacks 0_7 with 165600, killing 17 units
0_3 attacks 1_2 with 170080, killing 6 units
0_9 attacks 1_7 with 54336, killing 1 units
1_3 attacks 0_9 with 160426, killing 22 units
1_9 attacks 0_0 with 28560, killing 2 units
0_2 attacks 1_0 with 57200, killing 1 units
1_7 attacks 0_4 with 56440, killing 5 units
0_0 attacks 1_4 with 167640, killing 7 units
1_0 attacks 0_3 with 178524, killing 18 units
1_6 attacks 0_5 with 155790, killing 33 units
Tick 450_6 attacks 1_6 with 91880, killing 2 units
0_7 attacks 1_5 with 54384, killing 1 units
1_8 attacks 0_1 with 20948, killing 2 units
1_1 attacks 0_2 with 185372, killing 20 units
0_5 attacks 1_8 with 20902, killing 1 units
1_2 attacks 0_8 with 25740, killing 2 units
0_4 attacks 1_3 with 168844, killing 3 units
0_8 attacks 1_1 with 62976, killing 1 units
1_4 attacks 0_6 with 20592, killing 3 units
0_1 attacks 1_7 with 108160, killing 3 units
1_5 attacks 0_7 with 165540, killing 17 units
0_3 attacks 1_2 with 169720, killing 6 units
0_9 attacks 1_9 with 53984, killing 3 units
1_3 attacks 0_9 with 160132, killing 22 units
1_9 attacks 0_0 with 28515, killing 2 units
0_2 attacks 1_0 with 57040, killing 1 units
1_7 attacks 0_4 with 56338, killing 5 units
0_0 attacks 1_4 with 167508, killing 7 units
1_0 attacks 0_3 with 178466, killing 18 units
1_6 attacks 0_5 with 155754, killing 33 units
Tick 460_6 attacks 1_6 with 91760, killing 2 units
0_7 attacks 1_9 with 53568, killing 3 units
1_8 attacks 0_1 with 20944, killing 2 units
1_1 attacks 0_2 with 185328, killing 20 units
0_5 attacks 1_8 with 20440, killing 1 units
1_2 attacks 0_8 with 25380, killing 2 units
0_4 attacks 1_3 with 168584, killing 3 units
0_8 attacks 1_1 with 62320, killing 1 units
1_4 attacks 0_6 with 20340, killing 3 units
0_1 attacks 1_7 with 108128, killing 3 units
1_5 attacks 0_9 with 165540, killing 23 units
0_3 attacks 1_2 with 169360, killing 6 units
0_9 attacks 1_5 with 53264, killing 1 units
1_3 attacks 0_7 with 159838, killing 17 units
1_9 attacks 0_0 with 28470, killing 2 units
0_2 attacks 1_0 with 56880, killing 1 units
1_7 attacks 0_4 with 56236, killing 5 units
0_0 attacks 1_4 with 167376, killing 7 units
1_0 attacks 0_3 with 178408, killing 18 units
1_6 attacks 0_5 with 155718, killing 33 units
Tick 470_6 attacks 1_6 with 91640, killing 2 units
0_7 attacks 1_9 with 52752, killing 3 units
1_8 attacks 0_1 with 20940, killing 2 units
1_1 attacks 0_2 with 185284, killing 20 units
0_5 attacks 1_8 with 19978, killing 1 units
1_2 attacks 0_8 with 25020, killing 2 units
0_4 attacks 1_3 with 168324, killing 3 units
0_8 attacks 1_1 with 61664, killing 1 units
1_4 attacks 0_6 with 20088, killing 3 units
0_1 attacks 1_7 with 108096, killing 3 units
1_5 attacks 0_9 with 165480, killing 23 units
0_3 attacks 1_2 with 169000, killing 6 units
0_9 attacks 1_5 with 52896, killing 1 units
1_3 attacks 0_7 with 159544, killing 16 units
1_9 attacks 0_0 with 28425, killing 2 units
0_2 attacks 1_0 with 56720, killing 1 units
1_7 attacks 0_4 with 56134, killing 5 units
0_0 attacks 1_4 with 167244, killing 7 units
1_0 attacks 0_3 with 178350, killing 18 units
1_6 attacks 0_5 with 155682, killing 33 units
Tick 480_6 attacks 1_6 with 91520, killing 2 units
0_7 attacks 1_9 with 51984, killing 3 units
1_8 attacks 0_1 with 20936, killing 2 units
1_1 attacks 0_2 with 185240, killing 20 units
0_5 attacks 1_8 with 19516, killing 1 units
1_2 attacks 0_8 with 24660, killing 2 units
0_4 attacks 1_3 with 168064, killing 3 units
0_8 attacks 1_1 with 61008, killing 1 units
1_4 attacks 0_6 with 19836, killing 3 units
0_1 attacks 1_7 with 108064, killing 3 units
1_5 attacks 0_9 with 165420, killing 23 units
0_3 attacks 1_2 with 168640, killing 6 units
0_9 attacks 1_5 with 52528, killing 1 units
1_3 attacks 0_7 with 159250, killing 16 units
1_9 attacks 0_0 with 28380, killing 2 units
0_2 attacks 1_0 with 56560, killing 1 units
1_7 attacks 0_4 with 56032, killing 5 units
0_0 attacks 1_4 with 167112, killing 7 units
1_0 attacks 0_3 with 178292, killing 18 units
1_6 attacks 0_5 with 155646, killing 33 units
Tick 490_6 attacks 1_6 with 91400, killing 2 units
0_7 attacks 1_9 with 51216, killing 3 units
1_8 attacks 0_1 with 20932, killing 2 units
1_1 attacks 0_2 with 185196, killing 20 units
0_5 attacks 1_8 with 19054, killing 1 units
1_2 attacks 0_8 with 24300, killing 2 units
0_4 attacks 1_3 with 167804, killing 3 units
0_8 attacks 1_1 with 60352, killing 1 units
1_4 attacks 0_6 with 19584, killing 3 units
0_1 attacks 1_7 with 108032, killing 3 units
1_5 attacks 0_9 with 165360, killing 23 units
0_3 attacks 1_2 with 168280, killing 6 units
0_9 attacks 1_5 with 52160, killing 1 units
1_3 attacks 0_7 with 158956, killing 16 units
1_9 attacks 0_0 with 28335, killing 2 units
0_2 attacks 1_0 with 56400, killing 1 units
1_7 attacks 0_4 with 55930, killing 5 units
0_0 attacks 1_4 with 166980, killing 7 units
1_0 attacks 0_3 with 178234, killing 18 units
1_6 attacks 0_5 with 155610, killing 33 units
Tick 500_6 attacks 1_6 with 91280, killing 2 units
0_7 attacks 1_9 with 50448, killing 3 units
1_8 attacks 0_1 with 20928, killing 2 units
1_1 attacks 0_2 with 185152, killing 20 units
0_5 attacks 1_8 with 18592, killing 1 units
1_2 attacks 0_8 with 23940, killing 2 units
0_4 attacks 1_3 with 167544, killing 3 units
0_8 attacks 1_1 with 59696, killing 1 units
1_4 attacks 0_6 with 19332, killing 3 units
0_1 attacks 1_7 with 108000, killing 3 units
1_5 attacks 0_9 with 165300, killing 23 units
0_3 attacks 1_2 with 167920, killing 6 units
0_9 attacks 1_5 with 51792, killing 1 units
1_3 attacks 0_7 with 158662, killing 16 units
1_9 attacks 0_0 with 28290, killing 2 units
0_2 attacks 1_0 with 56240, killing 1 units
1_7 attacks 0_4 with 55828, killing 5 units
0_0 attacks 1_4 with 166848, killing 7 units
1_0 attacks 0_3 with 178176, killing 18 units
